"method","band","pre_RMSPE","post_RMSPE","ratio","pre_MAE","pre_R2","post_estimate"
"SC","Treated_Core",0.156472612135233,26.342770272396,168.353873006409,0.135738911315317,0.882070956381961,23.8080962785271
"SC","Treated_Band_5km",0.388839165676557,3.59838546190492,9.25417442361791,0.311559332789917,0.937601545078026,-3.08625964647901
"SC","Treated_Band_10km",0.583578089166397,1.37354498403771,2.3536609916245,0.481805827874266,0.266038765636405,-1.15333307611795
"SC","Treated_Band_15km",0.39575234708632,2.17682415486534,5.50047061221986,0.309916270477999,0.937433779252926,-1.90920017633884
"SC","Treated_Band_20km",0.114855956937819,3.27259760281876,28.4930593943027,0.0972232445090725,0.926405761636546,2.40859263002105
"SR","Treated_Core",0.146055838134237,25.983764580055,177.902950761708,0.108129105667668,0.897249970879354,23.5138650430028
"SR","Treated_Band_5km",0.309803087979505,4.48505263335857,14.4771075802036,0.247103534834931,0.960389956857164,-3.8450198786675
"SR","Treated_Band_10km",0.371055552409661,0.928281912036682,2.50173297773973,0.344371496799089,0.703275752966802,0.367850219525943
"SR","Treated_Band_15km",0.344462001963822,2.5494636734739,7.40129146012938,0.261755326095564,0.952600302851732,-2.19907679466982
"SR","Treated_Band_20km",0.0810051142745321,3.17425567765284,39.1858675354134,0.0694242575504853,0.963393210322996,2.36577820020286
"OLS","Treated_Core",0.112423147043076,26.423681511574,235.037732055743,0.0882022269011582,0.939122671251494,23.9204203509934
"OLS","Treated_Band_5km",0.18673322999619,7.58048886333036,40.5952859246585,0.142253284609252,0.985609461368256,-6.46749169702214
"OLS","Treated_Band_10km",0.262125580620506,2.54217289445454,9.69830143413203,0.197167691942604,0.851920827776213,1.98555700201028
"OLS","Treated_Band_15km",0.224772660123925,5.86870294816611,26.1095052437894,0.173907064838309,0.979817270716029,-4.97652741996347
"OLS","Treated_Band_20km",0.0593967058800039,2.87862175606405,48.4643333904675,0.0477152259566796,0.980318350851851,2.1204460973934
"BVR","Treated_Core",0.117381300654492,26.1469085262655,222.751906653582,0.0945322337897235,0.933634564899743,23.6721235632168
"BVR","Treated_Band_5km",0.211783905651432,6.22450022772716,29.390808563007,0.160833392554988,0.981489432349367,-5.28972035200381
"BVR","Treated_Band_10km",0.356953848856078,1.05305623743999,2.95011873611868,0.332429747060981,0.725400776202056,0.521402234720291
"BVR","Treated_Band_15km",0.252759401711718,4.28288306041438,16.9445054522608,0.203523902338108,0.974478419749437,-3.63665538647323
"BVR","Treated_Band_20km",0.0638486849566528,2.96069578606763,46.3705053295562,0.0532716311040341,0.977257370323433,2.19992006092043
"BSC","Treated_Core",0.205539749056509,26.1835755620014,127.389352581153,0.177203292744462,0.79651342824327,23.6383695927131
"BSC","Treated_Band_5km",0.661477614403916,2.11398963952748,3.19585968367575,0.564739710466221,0.819422293095983,-1.63754184722544
"BSC","Treated_Band_10km",0.662507657876676,1.31102315404249,1.97888000003546,0.541246525238853,0.0540744148261398,-1.10706018009253
"BSC","Treated_Band_15km",0.669335790092439,0.652481771126636,0.974819785203066,0.60004433420258,0.821029677853901,-0.395485861443467
"BSC","Treated_Band_20km",0.147682436726441,3.69473282168002,25.0180922225975,0.124589380315411,0.878326930314076,2.72294936873575
"SMAC","Treated_Core",0.11833677141553,26.1539183939445,221.012607333244,0.0929623904305415,0.93254975311872,23.679649342613
"SMAC","Treated_Band_5km",0.253210532120427,5.46946885202563,21.6004792779486,0.203825655493834,0.973539541659213,-4.67289504442928
"SMAC","Treated_Band_10km",0.344728820397572,1.11323026657907,3.22929270983258,0.313029334587735,0.743887748735075,0.622379705745589
"SMAC","Treated_Band_15km",0.299882617930788,3.39104849141303,11.3079194613263,0.228976899968811,0.96407510468798,-2.90708684801989
"SMAC","Treated_Band_20km",0.0708418609221743,2.93267607440229,41.3975019321426,0.060758864411726,0.972002665376106,2.16618843851285
