"unit","type","pre_RMSPE","post_RMSPE","ratio","p_value"
"Control_47230_청통면","control",0.00476563124502961,0.845665086920227,177.450802095153,NA
"Control_47113_청하면","control",0.0119451899020061,1.2953782867516,108.443507167186,NA
"Control_47111_호미곶면","control",0.0365269206915771,3.12950306423813,85.6766189152038,NA
"Control_47130_서면","control",0.162815189197351,4.85429653443974,29.8147645706187,NA
"Control_47920_봉화읍","control",0.0399308039968924,1.10362155746236,27.6383505212729,NA
"Control_47900_유천면","control",0.064514914269756,1.77395516219017,27.4968227466402,NA
"Control_47170_풍산읍","control",0.137051342272812,2.76474951064229,20.1730932714166,NA
"Control_27720_군위읍","control",0.0213469228288394,0.405879333064322,19.0134820048154,NA
"Control_47730_금성면","control",0.0208003870686607,0.28634400800359,13.7662826686055,NA
"Control_47930_평해읍","control",0.0400563112889685,0.422814265413848,10.555496794591,NA
"Control_47830_성산면","control",0.235738153330844,2.47101082027576,10.4820148345179,NA
"Control_47280_영순면","control",0.0912565713927256,0.876291611838788,9.60250421931413,NA
"Control_47820_풍각면","control",0.139805293230832,0.71798649594176,5.13561739580412,NA
"Control_47210_안정면","control",0.309059887505529,1.41851171024628,4.58976323875386,NA
"Control_47770_영해면","control",0.428915882058724,1.67676914871606,3.909319330093,NA
"Control_47290_남산면","control",0.123729814871852,0.212959587802794,1.7211663011325,NA
"Treated_Core","treated",0.327338422575506,86.0720039291122,262.945007347123,0.0588235294117647
"Treated_Band_10km","treated",0.118821945649188,2.43710810237201,20.510589092417,0.411764705882353
"Treated_Band_5km","treated",0.296977497542841,5.49553896749843,18.5049002465437,0.529411764705882
"Treated_Band_20km","treated",0.116150316266783,1.1795275574842,10.1551816249468,0.705882352941177
"Treated_Band_15km","treated",0.144497999343676,0.294502402338406,2.03810712726864,0.941176470588235
