"","Treated_Core","Treated_Band_5km","Treated_Band_10km","Treated_Band_15km","Treated_Band_20km","Control_47280_마성면","Control_47170_풍천면","Control_47230_청통면","Control_47130_강동면","Control_47770_병곡면","Control_47830_성산면","Control_47920_봉성면","Control_47820_매전면"
"Y1997",0.724791306503352,-2.16273051614431,-0.796385554139905,-2.50006961293737,0.998565187480494,0.791945522203287,0.9986826757757,-3.10078369610403,-1.85431165812078,0.684800681205063,0.920429668685388,0.726852485331059,0.832384321024305
"Y1998",0.533062959822898,-2.15356248464778,0.0203364883795059,-2.51594127023085,0.673757787077457,0.523697410594246,0.598194187296095,-2.05093144428189,-1.33613267622256,0.498614285801857,0.590582310269358,0.508672182862008,0.667303743680882
"Y1999",0.226726376985031,-1.92081973054023,0.31436184168096,-2.34957191931778,0.327110969042375,0.283112909718783,0.236113464194352,-1.54150552493063,-0.367198991366893,0.234256873156471,0.420725223487531,0.327002348548926,0.407493697191463
"Y2000",0.0163342149378058,-1.78474595902098,-0.221566592729037,-1.72418826827627,0.107980620422734,0.317057339695551,0.090848529414212,-1.37843311269425,0.589280474985672,0.0687576612893469,0.132721167665754,0.19931330768373,-0.0195453680400129
"Y2001",0.178501246480237,-1.44328828669834,0.182813018836819,-1.270326365615,-0.094453241907826,0.335236616620966,0.0688142401696754,-0.983584687196075,0.639399835134024,-0.00847609484137324,-0.0397023281980332,0.0810977445350625,-0.092785326224246
"Y2002",-0.221342851732565,-1.23961647520612,0.431478482169876,-0.856474712405248,-0.115488668036506,-0.111096426597231,-0.00589174831967737,-0.742018573286677,0.198272300937077,0.42835350889452,0.2408642762315,-0.00564047955031943,-0.00284285830919223
"Y2003",0.548773401315417,-0.4073803984064,0.277070354835618,-0.142970056493746,0.000355497974929349,0.0346585617138229,0.08664173783161,-0.752459762237228,-0.032048114068524,0.161851057573253,-0.179512183222133,0.35339163254349,0.327477069865709
"Y2004",0.306374357244742,-0.342954236044856,1.00164480000623,0.328108537877143,0.0674556841942654,0.0632739764705854,0.17686287707516,-0.370085197942675,-0.33111836909492,0.224151173480639,-0.187161883967102,0.300873116448908,0.123204307529405
"Y2005",0.16324444301857,0.379343977880797,0.803606920635219,0.550967313029034,-0.0210801961072977,-0.0505630361511649,0.0164291633765429,0.460522598411881,-0.496459844981767,0.162564855733151,-0.279053019172053,0.129441760319225,0.057117522464185
"Y2006",0.16227368923801,0.71454689890631,1.02288614959032,1.00337287787213,-0.0898350314184975,-0.210973784844135,-0.153225394246206,1.11577350798433,-0.861748260598989,0.320342780298181,-0.13198038713825,-0.06183598445676,-0.0163524769981714
"Y2007",0.128964418419441,1.4272319739603,0.316227225020249,1.23720122314729,-0.0468181457778566,-0.324962542386782,-0.235140471829194,1.49041606560889,-0.512526846215601,-0.0617990438718189,-0.137247552744811,-0.185714106166358,-0.0330255023943258
"Y2008",-0.0239246617424066,1.70116471336598,-0.508217967587547,1.4282540702279,-0.0380211852271841,-0.25932964713644,-0.215539441297465,1.43093859973245,-0.0732868407737427,-0.174848657617537,-0.264123586541463,-0.284251492604689,-0.159558933761117
"Y2009",-0.597421273722343,1.82149503714928,-1.27485670900568,1.61108662463397,0.0503238022966528,-0.0910714545652456,-0.180014107116146,1.21721291332413,0.103849873879546,-0.293084033114671,-0.149098626170917,-0.35858628263327,-0.249208283603432
"Y2010",-0.621266457659066,1.87402752678893,-1.27231463791871,1.66270389395863,-0.299126693260013,-0.248301691426345,-0.310193664503772,1.50637280117736,0.998244494841446,-0.572909376087323,-0.405725763440271,-0.495045418239228,-0.472441382321867
