"","Treated_Core","Treated_Band_5km","Treated_Band_10km","Treated_Band_15km","Treated_Band_20km","Control_47113_청하면","Control_47280_영순면","Control_47230_청통면","Control_47130_서면","Control_47820_풍각면","Control_47170_풍산읍","Control_47210_안정면","Control_47730_금성면","Control_47900_유천면","Control_47930_평해읍","Control_47830_성산면","Control_27720_군위읍","Control_47290_남산면","Control_47770_영해면","Control_47111_호미곶면","Control_47920_봉화읍"
"Y1997",0.345897231681882,-1.54412321835447,-1.01831290936102,-2.90174809026299,0.511491723308382,-1.07487254326469,0.330295717064356,-3.48108874392013,-0.0814754937797362,0.468720273280789,0.565044103180318,-0.333429344980841,0.300880806236073,0.472080096945435,0.385450342594009,0.627356964362052,0.0991433521238996,0.372596541949267,0.235185401358321,0.502948644323084,0.611163882527795
"Y1998",0.264617630467964,-2.07463635036214,-0.708276447970933,-2.86586418294394,0.323458952311603,-1.30514080874947,0.236744297248069,-2.33621392144466,0.0703870068711976,0.426897462087624,0.193592168423732,0.55650701769048,0.150097123226018,0.240051427831733,0.273406690915354,0.3929090653513,-0.00244903392952578,0.354752766180347,0.179261406894774,0.21551252038465,0.353684811018381
"Y1999",0.140659330547217,-1.45091566770382,0.0921563351466179,-2.7296758924746,0.222949543546803,-1.22411013684146,0.20405882644309,-1.64560579925202,0.209615381970048,0.282814051402877,0.242054416699479,0.24790104235045,0.156283977036833,0.0967743951073456,0.18808717219036,0.404833830097417,0.101068656860171,0.446584541939055,0.0805688400531754,0.00430169010665837,0.204769113836514
"Y2000",-0.0430857861231013,-1.9488238649305,0.311063663463496,-1.24303634558424,0.0647040981750281,-0.130715293304733,0.268873121763079,-1.44179494202918,0.287179064615614,-0.1094159760549,0.122538565729758,0.216353063422229,0.182321303303058,0.230448595651257,0.067670989380317,0.167123082814959,0.238052748153235,-0.0602758622843372,-0.0513275003981081,-0.0395639630143597,0.0525330022521118
"Y2001",0.134113179222196,-0.906584970672382,0.502161233215648,-0.873855080521918,-0.0550262473142554,-0.175110909009497,0.31777986372942,-1.04869249494523,0.321951927501007,-0.127621793275636,0.0370965927865665,0.243295402035149,0.294188320279854,0.257546152395708,0.0236412243244906,-0.129841478111375,0.40097364200745,-0.161875749877351,-0.138137320539175,-0.0537243271738367,-0.061469052127547
"Y2002",-0.171306505142904,-1.4065211078268,0.721090616486668,-0.531591505424956,0.0825474985436113,-0.909826238319371,-0.00349146589569865,-0.697807566821375,0.317396057503447,0.0566402602754913,0.0633405173153264,0.139973902231156,0.107326175675973,-0.00816673479582347,0.150174554071416,-0.333514763479123,0.355873325921845,0.0360371782988306,0.781355625762369,0.0362762606639632,-0.0915870884084276
"Y2003",0.513603563802993,1.25365928375396,1.0315443091817,-0.171377441911132,0.0800408834730377,-1.20559178378589,0.0580705491503315,-0.764770273070877,0.394126996129608,0.343861650768811,0.0865333632686058,0.309814877411421,0.197914246574647,0.0233090978649414,0.165278565536785,-0.57920369355543,0.213742300229181,0.242059901532438,0.0635615209406532,0.275846696281168,0.175445984723611
"Y2004",0.2423451168256,-1.22373646543434,0.672769851708901,0.0146598464321718,0.102813499086655,-0.943999615928945,0.0291917605994967,-0.40218064745377,0.225667694263377,0.05877536966348,0.125135912815719,0.240786763219163,0.178799352627904,0.0563254195023736,0.185394888041516,-0.589589269894052,0.298385110542987,0.0731521485128921,0.0831489309663649,0.326390344252296,0.0546158382691974
"Y2005",0.103565950556032,-0.889701341868008,0.438780801324885,0.189001931241194,0.0247610681964434,-0.30747773348946,-0.0714119934747509,0.406457372884255,0.0403693168092922,-0.0203872788168171,-0.0310019960276472,0.0106729393212433,0.060401467431326,-0.0601407057149366,0.127935088924617,-0.623403039475228,0.155343098882898,-0.0113572634645069,0.0534530106348272,0.286014187681673,-0.0154664721067851
"Y2006",0.0981920909618496,-0.218552507712829,0.145132566801557,0.646805528962952,-0.0847534405789129,-0.414765615605012,-0.247096357571348,1.04858181691953,-0.0705393089011453,-0.12559187135139,-0.200950012607496,-0.200250852932336,-0.0610852267957967,-0.0547118208512652,0.00927740442955055,-0.213703314524346,-0.0172538319769511,0.0116996357382392,0.499454511258196,0.19676906161851,-0.159834216846939
