"","Treated_Core","Treated_Band_5km","Treated_Band_10km","Treated_Band_15km","Treated_Band_20km","Control_47113_청하면","Control_47280_영순면","Control_47230_청통면","Control_47130_서면","Control_47820_풍각면","Control_47170_풍산읍","Control_47210_안정면","Control_47730_금성면","Control_47900_유천면","Control_47930_평해읍","Control_47830_성산면","Control_27720_군위읍","Control_47290_남산면","Control_47770_영해면","Control_47111_호미곶면","Control_47920_봉화읍"
"Y1997",0.34071946233733,-1.54930098769902,-1.02349067870557,-2.90692585960754,0.50631395396383,-1.08005031260924,0.32871294870677,-3.48626651326468,-0.0866532631242891,0.463542503936236,0.559866333835765,-0.201916842042862,0.238262073134871,0.466902327600882,0.380272573249456,0.622179195017499,0.0939655827793466,0.367418772604714,0.230007632013768,0.497770874978531,0.605986113183242
"Y1998",0.271616762275553,-2.06763721855455,-0.701277316163344,-2.85886505113636,0.330458084119192,-1.29814167694188,0.242322192885407,-2.32921478963707,0.0773861386787866,0.433896593895213,0.200591300231321,0.502330322220922,0.107707209559579,0.247050559639322,0.280405822722943,0.399908197158889,0.00455009787806326,0.361751897987936,0.186260538702363,0.222511652192239,0.36068394282597
"Y1999",0.141422911163461,-1.45015208708758,0.0929199157628617,-2.72891231185836,0.223713124163047,-1.22334655622521,0.203908303659139,-1.64484221863577,0.210378962586292,0.283577632019121,0.242817997315723,0.253266569618046,0.141142424542018,0.0975379757235895,0.188850752806603,0.405597410713661,0.101832237476414,0.447348122555299,0.0813324206694193,0.00506527072290219,0.205532694452758
"Y2000",-0.0446702198948938,-1.95040829870229,0.309479229691704,-1.24462077935603,0.0631196644032356,-0.132299727076526,0.268156874851055,-1.44337937580097,0.285594630843822,-0.111000409826692,0.120954131957965,0.214084890704197,0.205903361966419,0.228864161879465,0.0660865556085245,0.165538649043167,0.236468314381442,-0.0618602960561297,-0.0529119341699006,-0.0411483967861522,0.0509485684803193
"Y2001",0.133692179338661,-0.907005970555917,0.501740233332113,-0.874276080405453,-0.0554472471977908,-0.175531908893032,0.304536963608978,-1.04911349482876,0.321530927617471,-0.128042793159171,0.0366755929030311,0.220468487299809,0.335731133621597,0.257125152512173,0.0232202244409552,-0.13026247799491,0.400552642123914,-0.162296749760887,-0.13855832042271,-0.0541453270573721,-0.0618900520110824
"Y2002",-0.175126532179406,-1.41034113486331,0.717270589450166,-0.535411532461458,0.0787274715071095,-0.913646265355873,-0.000711793285811557,-0.701627593857877,0.313576030466946,0.0528202332389895,0.0595204902788247,0.105428782518953,0.188751974252812,-0.0119867618323252,0.146354527034914,-0.337334790515624,0.352053298885344,0.0322171512623289,0.777535598725867,0.0324562336274615,-0.0954071154449293
"Y2003",0.513166676173066,1.25322239612403,1.03110742155178,-0.171814329541058,0.0796039958431114,-1.20602867141582,0.0602592073159581,-0.765207160700803,0.393690108499681,0.343424763138885,0.0860964756386795,0.302851916295197,0.208368088714286,0.0228722102350151,0.164841677906859,-0.579640581185356,0.213305412599255,0.241623013902512,0.0631246333107269,0.275409808651241,0.175009097093685
"Y2004",0.241066925005559,-1.22501465725439,0.67149165988886,0.0133816546121302,0.101535307266613,-0.945277807748987,0.0348305922431101,-0.403458839273812,0.224389502443336,0.0574971778434384,0.123857720995678,0.22965349856499,0.200910279299005,0.055047227682332,0.184116696221475,-0.590867461714093,0.297106918722946,0.0718739566928505,0.0818707391463233,0.325112152432254,0.0533376464491557
"Y2005",0.102620564205343,-0.890646728218697,0.437835414974196,0.188056544890505,0.0238156818457543,-0.308423119840149,-0.0692747065638699,0.405511986533566,0.0394239304586031,-0.0213326651675062,-0.0319473823783363,0.0234995347594448,0.0577276076412013,-0.0610860920656257,0.126989702573928,-0.624348425825917,0.154397712532209,-0.012302649815196,0.0525076242841381,0.285068801330984,-0.0164118584574742
"Y2006",0.096426294668073,-0.220318304006605,0.14336677050778,0.645039732669175,-0.0865192368726895,-0.416531411898789,-0.226913194132162,1.04681602062575,-0.0723051051949219,-0.127357667645166,-0.202715808901273,-0.189646358772796,-0.0689175325754258,-0.0564776171450418,0.00751160813577395,-0.215469110818123,-0.0190196282707277,0.00993383944446263,0.497688714964419,0.195003265324733,-0.161600013140716
